id;title;price;image
0;Computador Intel Core I5 8gb 240gb Ssd. Total;R$ 905,00;https://m.media-amazon.com/images/I/61GiE2virML._AC_UL320_.jpg
1;Computador Completo Intel Core i5 8GB SSD 480GB Windows 10 Monitor 19" HDMI 3green ElitePC Slim;R$ 2.073,98;https://m.media-amazon.com/images/I/61xm1msZ6NL._AC_UL320_.jpg
2;PC HOME OFFICE INTEL CORE i7 3770 - 16GB - SSD 480GB - GABINETE GAMER VX - 500W REAL- WINDOWS 10 ORIGINAL LIDER 4;R$ 1.634,99;https://m.media-amazon.com/images/I/51gtFjSX3XL._AC_UL320_.jpg
3;Computador Pc Cpu Intel Core i5 Com Hdmi 8GB HD 500GB Windows 10 Wifi Desktop;R$ 954,00;https://m.media-amazon.com/images/I/519CpLs066L._AC_UL320_.jpg
4;Easypc Computador Completo Intel Core i5 8GB SSD 240GB Monitor LED 19.5" HDMI Go, Preto;R$ 1.592,78;https://m.media-amazon.com/images/I/61fPqhbDdDL._AC_UL320_.jpg
5;PC Gamer Completo AMD 6-Core CPU 3.8Ghz 8GB (Placa de vídeo Radeon R5 2GB) SSD 120GB Kit Gamer Skill Gaming Monitor HDMI LED 19.5", 40475, Preto, Média;R$ 2.191,20;https://m.media-amazon.com/images/I/81datM9VpRS._AC_UL320_.jpg
6;Computador Completo Intel Core i5 8GB SSD 480GB Windows 10 Monitor 19" HDMI 3green ElitePC;R$ 2.399,00;https://m.media-amazon.com/images/I/811im6l7G7S._AC_UL320_.jpg
7;PC Intel Core i5 6 Geração, 8GB RAM, SSD 120GB Leve um copo Stanley;R$ 1.650,00;https://m.media-amazon.com/images/I/41oLySkeiZL._AC_UL320_.jpg
8;Computador CorPC Intel Core i3 4GB DDR3, HD 500GB e Monitor LED 19.5, PRETO, Média, 6584;R$ 1.317,49;https://m.media-amazon.com/images/I/518nL4oxwAL._AC_UL320_.jpg
9;Pc Cpu Intel Core I5 Quad Core + 8gbram + ssd 240gb;R$ 1.179,49;https://m.media-amazon.com/images/I/51eTowUSF+L._AC_UL320_.jpg
10;Computador Completo Intel Core i5 8GB SSD 240GB Monitor 17" Hdmi;R$ 1.585,00;https://m.media-amazon.com/images/I/71QBwRNlIcL._AC_UL320_.jpg
11;Computador Completo Intel Core i5 8GB SSD 128GB Monitor 17" Hdmi;R$ 1.548,00;https://m.media-amazon.com/images/I/71jBu0BcR4L._AC_UL320_.jpg
12;Computador Completo Intel Core i5 8gb SSD 120GB Monitor Hdmi;R$ 1.579,00;https://m.media-amazon.com/images/I/41kaCtuXnwL._AC_UL320_.jpg
13;Computador Intel Core i5 16GB SSD 240GB EasyPC Go;R$ 1.120,00;https://m.media-amazon.com/images/I/71fMER1GMvS._AC_UL320_.jpg
14;Computador Pc Cpu Intel Core i5 Com Hdmi 8GB HD 500GB Windows 10 Wifi Desktop;R$ 935,00;https://m.media-amazon.com/images/I/519CpLs066L._AC_UL320_.jpg
15;Computador Completo Intel Core i5 8gb SSD 240GB Monitor Hdmi;R$ 1.643,57;https://m.media-amazon.com/images/I/614sG5PFF6L._AC_UL320_.jpg
16;Computador Intel Core i5 Com Hdmi 8GB HD 1TB Windows 10 Desktop;R$ 999,00;https://m.media-amazon.com/images/I/61W+o62-SyL._AC_UL320_.jpg
17;Computador Completo Core i5 8GB SSD 256GB Pc Intel Monitor Teclado e Mouse Cpu Desktop Strong Tech;R$ 1.548,00;https://m.media-amazon.com/images/I/61QkUW+g7xL._AC_UL320_.jpg
18;Pc Gamer Intel Core i7 3770-3.90 GHz,16GB RAM, Placa de vídeo 2GB, SSD 512GB, Fonte 500w, Gabinete GAMER;R$ 1.909,00;https://m.media-amazon.com/images/I/51zQsIiFcRL._AC_UL320_.jpg
19;Computador Completo Intel Core i5 8GB SSD 512GB Monitor 19" Hdmi Teclado e Mouse Strong Tech;R$ 1.899,00;https://m.media-amazon.com/images/I/716F6614nqL._AC_UL320_.jpg
20;PC Intel Core i5, 8GB RAM DDR3, HD SSD 240GB;R$ 902,00;https://m.media-amazon.com/images/I/41IEMsyGFiL._AC_UL320_.jpg
21;Pc Cpu Intel Core I5 3º3470 3,2ghz+8gbram+ssd 240gb Promoção;R$ 905,00;https://m.media-amazon.com/images/I/41vwcRH2haL._AC_UL320_.jpg
22;All in One LG 22V280-L.BY31P1 - Intel Quad Core, 4GB, 500GB, 21,5” Full HD, Windows 10;R$ 2.199,00;https://m.media-amazon.com/images/I/31E3nirrmeL._AC_UL320_.jpg
23;Computador Desktop Business Intel Core i3 3.0Ghz / 4Gb DDR3 / HD 500GB / Monitor LED 19 Kit - Flex Computer;R$ 1.359,00;https://m.media-amazon.com/images/I/61huNT3KZ2L._AC_UL320_.jpg
24;PC Gamer Mancer (AMD Ryzen 7 5700G, 16GB DDR4, SSD 240GB, HD 1TB, 500W);R$ 4.055,90;https://m.media-amazon.com/images/I/61u9iBBGsbL._AC_UL320_.jpg
25;Computador Completo Core i5 4GB SSD 128GB Pc Intel Monitor Teclado e Mouse Cpu Desktop Strong Tech;R$ 1.450,00;https://m.media-amazon.com/images/I/61QkUW+g7xL._AC_UL320_.jpg
26;Cpu Computador Pc Intel Core I5 4ª Geração/Ssd 240gb, 8gb Memória Ram - PROMOÇÃO!;R$ 1.099,00;https://m.media-amazon.com/images/I/31KwKwu-7XL._AC_UL320_.jpg
27;PC Intel Core i7 até 3,80 GHz, 8GB RAM DDR3, HD 500GB + SSD 120GB Melhor Preço!!;R$ 1.250,00;https://m.media-amazon.com/images/I/61E7vT0W88L._AC_UL320_.jpg
28;Cpu Intel Core I7 3770 1600 Mhz + 16gb + Ssd240gb;R$ 1.225,00;https://m.media-amazon.com/images/I/41IEMsyGFiL._AC_UL320_.jpg
29;Strong Tech Computador Completo Intel Core i5 8GB SSD 240GB Monitor 19" HDMI Teclado e Mouse, Preto;R$ 1.640,00;https://m.media-amazon.com/images/I/71zK62UPYEL._AC_UL320_.jpg
30;Computador Completo Intel Core i5 8GB SSD 240GB Monitor 19" Hdmi Teclado e Mouse Strong Tech;R$ 1.660,20;https://m.media-amazon.com/images/I/71yNlWZnwAL._AC_UL320_.jpg
31;Strong Tech Computador Completo Intel Core i5 8GB SSD 120GB Monitor 19" HDMI Teclado e Mouse, Preto;R$ 1.550,00;https://m.media-amazon.com/images/I/71gVquYXakL._AC_UL320_.jpg
32;Computador Completo Intel Core i5 8GB HD 1TB Monitor 19" Hdmi Teclado e Mouse Strong Tech;R$ 1.830,00;https://m.media-amazon.com/images/I/71g9bW04IAL._AC_UL320_.jpg
33;PC Gamer OnGaming® Ryzen 5 5600G, Radeon™ Graphics Vega 7, 16GB Ram, SSD 240GB, Gabinete RGB;R$ 3.134,00;https://m.media-amazon.com/images/I/61rPwqa-osL._AC_UL320_.jpg
34;PC Gamer Arena Powered By Asus, Ryzen 5 5600G, Radeon™ Graphics Vega 7, 16GB Ram, SSD 240GB, Gabinete RGB;R$ 3.199,00;https://m.media-amazon.com/images/I/51QRmwAg1AL._AC_UL320_.jpg
35;Skill Gaming PC Gamer AMD 6-Core CPU 3.8Ghz 8GB (Placa de vídeo Radeon R5 2GB) SSD 120GB Casual, Preto, Média, 40453;R$ 1.619,19;https://m.media-amazon.com/images/I/51juJ9+3zwL._AC_UL320_.jpg
36;Computador Completo Intel Core i5 8GB SSD 480GB Monitor 19" Hdmi Teclado e Mouse Strong Tech Slim;R$ 2.100,00;https://m.media-amazon.com/images/I/61Cs7P50TbL._AC_UL320_.jpg
37;Computador CPU i7, 16GB DDR3, SSD 480GB ~ Promoção ~;R$ 1.685,29;https://m.media-amazon.com/images/I/51vWr2rn8fL._AC_UL320_.jpg
38;PC Gamer AMD Ryzen 5 2400G, 16 GB de RAM DDR4, SSD 512 GB, Gráficos Radeon RX Vega 11, Gabinete GAMER com LED;R$ 3.380,00;https://m.media-amazon.com/images/I/511-wWD4c8L._AC_UL320_.jpg
39;Computador Completo Intel Core i5 8GB HD 500GB Monitor 17" Hdmi;R$ 1.550,00;https://m.media-amazon.com/images/I/71xJYH86kJL._AC_UL320_.jpg
40;Computador Mancer Home Office (AMD RYZEN 5 4650G, 8GB DDR4, SSD 240GB, 200W, Combat);R$ 2.078,90;https://m.media-amazon.com/images/I/51pdQ6toPbL._AC_UL320_.jpg
41;Computador Completo Intel Core i5 8GB SSD 120GB Monitor 19" Hdmi Teclado e Mouse Strong Tech;R$ 1.599,50;https://m.media-amazon.com/images/I/71+EoATWJfL._AC_UL320_.jpg
42;Computador Completo Home and Business Intel Core i3 RAM 4GB HD 500GB Monitor 19.5" LED Quantum, PRETO, Média, 37817;R$ 1.390,40;https://m.media-amazon.com/images/I/61J-0L3GhCL._AC_UL320_.jpg
